lon,lat ,data
116.39639,40.519718,118.91
116.59093,40.25824,119.3
116.607223,40.79253,120.73
117.052686,41.083229,120.5
115.777367,40.326464,119.73
114.8987,39.2524,119.87
114.94163,38.74119,118.69
116.3102,40.37274,120.4
116.95155,39.95271,118.83
114.9884,40.4013,119.19
115.96356,39.0407,120.06
116.23552,38.87827,119.48
116.03685,39.12907,120.73
116.65106,40.32818,120.27
116.78936,40.33233,120.76
115.77086,39.85168,118.78
115.74363,38.93345,119.12
115.46239,39.47547,119.34
115.52062,39.43805,120.15
115.55408,39.57569,119.66
116.12483,39.03421,119.51
116.86201,38.88203,119.27
115.69397,40.33678,119.1
117.03877,40.38797,121.08
115.88573,39.78045,118.71
116.17087,40.68022,118.96
115.76055,39.09568,119.02
116.7591,38.64853,118.92
115.87988,39.65164,120.05
116.40909,40.55209,119.68
116.04632,39.7909,118.62
116.24922,39.9115,120.35
117.64319,39.12372,120.45
116.18515,39.94714,120.38
116.47073,39.93362,119.27
116.61925,40.8732,119.91
116.10777,38.71709,119.82
116.168,39.95155,118.81
116.7288,39.69825,119.2
117.06543,40.48263,119.79
116.08726,40.21191,119.99
117.50319,40.70333,120.69
117.81149,40.50943,119.18
117.87348,40.14687,120.94
115.99039,39.66604,119.46
116.44191,39.34953,119.4
116.03819,39.05292,121.07
116.75365,40.38151,120.08
116.45774,39.35696,120.77
115.715758,39.796884,120.64
115.956917,40.406099,119.11
116.199806,39.253171,119.98
117.389927,40.6602,120.73
117.272638,41.053545,119.2
116.336305,40.112818,119.08
117.842214,40.490003,120.38
115.930257,39.504163,120.53
116.453298,40.508437,118.52
116.326666,40.3825,120.48
117.515131,40.186869,120.58
116.30027,40.54468,119.34
116.098885,39.546515,120.08
116.584482,39.613787,120.41
117.130475,41.034557,119.45
116.311428,40.003149,119.79
117.766392,40.046023,118.67
116.385951,40.636525,118.84
117.698902,39.411225,119.31
117.421895,41.062152,118.64
117.341258,40.780538,120.18
117.14188,40.09328,118.62
117.18828,39.1024,120.13
117.06536,40.25437,120.54
115.733695,39.200519,120.09
117.1953,40.5951,120.61
116.103,38.7596,120.76
115.94785,39.50066,120.78
117.262184,39.621824,120.03
117.077927,38.717888,121.3
116.76785,39.55484,120.22
116.28119,41.33039,120.17
115.78245,40.70846,118.16
116.57638,39.63364,119.25
116.37015,41.61485,119.68
115.95657,40.61376,117.25
116.79215,40.79882,119.62
116.61813,39.41796,119.37
116.28186,41.10972,118.45
117.51994,39.42538,119.73
117.00567,40.72921,120.36
116.67244,40.36621,118.59
117.23373,39.54823,119.8
117.86586,40.44551,119.9
116.1438,39.62443,119.77
117.752114,40.644527,120.99
117.28421,40.73362,119.38
117.45925,40.824015,120.27
116.454373,41.039475,120.09
117.377671,40.309448,118.67
